Position,Track,Artist,Streams,ID
120,Lot To Learn,Luke Christopher,17926,3TRFq09DUgYj1mug6RRqJW
121,Stitches,Shawn Mendes,17842,1WP1r7fuvRqZRnUaTi2I1Q
122,Thinking Out Loud,Ed Sheeran,17777,34gCuhDGsG4bRPIf9bb02f
123,Min Villa (Luigis Mansion 2016),BEK & Wallin,17584,7EgtOMVPccFL8LnCh8v2qn
124,If I Were Sorry,Frans,17556,6oDkCmfVcSd9NXAKk1b4Ll
125,Dancing On My Own - Tiësto Remix,Calum Scott,17550,014J7jX1wSv0manSdRnveo
126,Ridin' - Radio Edit,Ben Mitkus,17533,0MzPuDLFtSrfcy5gDSkC7d
127,Better,Takida,17484,06I7twfjJ763P5K2utISya
128,Once In a While,Timeflies,17307,6cREm4bV7V79Yxdilx9HDo
129,Ett sista glas,Miriam Bryant,17274,1SZDQMXX1FrA97YY7Lt3Fj
130,Ruin,Shawn Mendes,17198,0JbDAwdeOrbtlADpxgxfc6
131,Terapi,Kent,17114,6KfNP1mmhmuevpFtu5nQ3i
132,Heartbeat,Christopher,17028,4uzaKmkExQmSM4ku8HmTxl
133,Jovial,Freddy Kalas,17027,5paNYIC0vrVj1EWGVzfJzb
134,The Weight,Mavrick,16991,0DskSLv9ocz7KsJlqUSCGw
135,The Mack,Nevada,16907,2fUZ3aMp8amSaV0mp8s6rQ
136,I See Fire,Ed Sheeran,16845,5pY3ovFxbvAg7reGZjJQSp
137,All In,Emil Assergård,16716,12nmbTit5bc9GK0UzHpnx6
138,Vi är inte längre där,Kent,16648,54DEdGLgtE60M6AHrGPkx5
139,Beautiful Birds (feat. Birdy),Passenger,16580,3Cj5F2XWQZxlX9JDyJ40zt
140,Cool Me Down,Margaret,16252,2bI9SAoXPVKpz8xx5IToQW
141,Din tid kommer - Otto Knows Remix,Håkan Hellström,16231,04LHuPqOMSpnHFaziPq1qO
142,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,16138,3bidbhpOYeV4knp8AIu8Xn
143,Allt jag har,Thomas Stenström,16098,0O4wdqDNF5eC8lphHRGvj6
144,Take Me To Church,Hozier,15979,7dS5EaCoMnN7DzlpT6aRn2
145,Anywhere,Passenger,15868,1zxZ8lz2mJspMvRrEd9sWT
146,Fix You,Coldplay,15848,7LVHVU3tWfcxj5aiPFEW4Q
147,My House,Flo Rida,15742,6Knv6wdA0luoMUuuoYi2i1
148,Heartbeat,Marcus & Martinus,15619,6511EVGteoddQHgxIU3rpj
149,"Me, Myself & I",G-Eazy,15225,40YcuQysJ0KlGQTeGUosTC
150,Bada nakna,Samir & Viktor,15186,68jkh9nqSjpmRtkkA9f0ld
151,Fragile,Kygo,15157,6PyxrogMU9imKqVtKx6840
152,All In My Head (Flex),Fifth Harmony,15132,7nD9nN3jord9wWcfW3Gkcm
153,Silver,Kent,15073,3BGj9WOKMyl2ZlkK8IoKhq
154,Heatwave (feat. Akon),Robin Schulz,15050,2KMJ5CoxY4ECG9TZyNWmpv
155,Feel Da Rush,Freddy Kalas,15041,7B7OdAjUTyMAmnaUmuneVW
156,I Was Wrong - Robin Schulz Remix,A R I Z O N A,14976,3TZ3MiMILR5wrQbbWiFUwI
157,I sprickorna kommer ljuset in,Håkan Hellström,14694,5RAZlINOlt1wJm7FcnW0As
158,Take Me Back,Christopher,14622,1OcCoDKGaQyuBQBYWoGSbo
159,Let Her Go,Passenger,14557,7DFNE7NO0raLIUbgzY2rzm
160,Lose Yourself - Soundtrack Version,Eminem,14481,7w9bgPAmPTtrkt2v16QWvQ
161,Blow Your Mind (Mwah),Dua Lipa,14425,7kJlTKjNZVT26iwiDUVhRm
162,Unsteady,X Ambassadors,14338,7lGKEWMXVWWTt3X71Bv44I
163,Don't Stop Believin',Journey,14074,4bHsxqR3GMrXTxEPLuK5ue
164,Mama Said,Lukas Graham,13991,5ArQzSBevAdXTxRY6Ulhbq
165,Stay,Kygo,13980,2FiSTH0GYpIioUgjfzMIja
166,Three Empty Words,Shawn Mendes,13854,0mT7Yv1rLh3kdr4nXZS21X
167,Someone Like You,Adele,13781,4kflIGfjdZJW4ot2ioixTB
168,Wasn't Expecting That,Jamie Lawson,13772,2a5VluIESm1JP4Qwvo02H8
169,Company,Justin Bieber,13752,09mhA1SJjMHniZPF4Hcihn
170,One Call Away,Charlie Puth,13676,37R0bQOQj5a7DOqh1TGzvB
171,Patience,Shawn Mendes,13648,2Xp9NoDd3kUvEKKjvdRq3D
172,Honest,Shawn Mendes,13641,1L0Ha47YIWpGGfho1aUMVT
173,Back Where I Belong (feat. Avicii),Otto Knows,13619,78W8wiUIlQ2SnWY9TVowKZ
174,Classic,MKTO,13613,6FE2iI43OZnszFLuLtvvmg
175,"See You Again (feat. Charlie Puth) - From ""Furious 7""",Wiz Khalifa,13531,66CFbqJScx6zRieGllITcs
176,Tandtråd,Tjuvjakt,13519,1K2a8QcaPTDTZ1e4M0s8gQ
177,Work,Rihanna,13519,14WWzenpaEgQZlqPq2nk4v
178,For Evigt,Volbeat,13470,59fQzvSv0wPQorW2Bh0pns
179,Allt jag behöver,Miriam Bryant,13457,3Q06XfNgOjBQAyPV4GbYaR
180,Gubben i lådan,Daniel Adams-Ray,13449,08bjJuoHJwfTnjNcuENOFz
181,No Diggity,Campsite Dream,13418,79T9m6YkRCgP0955CE4UCd
182,Purple Lamborghini (with Rick Ross),Skrillex,13392,6JyuJFedEvPmdWQW0PkbGJ
183,'Till I Collapse,Eminem,13311,6yr8GiTHWvFfi4o6Q5ebdT
184,Din tid kommer,Håkan Hellström,13221,4fScePDGQMY0ibb3L90xS3
185,Roses,The Chainsmokers,13201,3vv9phIu6Y1vX3jcqaGz5Z
186,Lean On (feat. MØ & DJ Snake),Major Lazer,13082,4WjH9Bzt3kx7z8kl0awxh4
187,Famous,Kanye West,13016,04mf1OkXHZ6TPBNM9sBcSm
188,Whole Heart,Gryffin,13006,4Z1t1aMRif8ES212kTN8H2
189,Don't Let Me Down,Conor Maynard,12959,4ks6j7JsfJorc1tb4THJo8
190,Trakten min,Yasin,12916,2HuMRW4PILLHwRb21oUhdO
191,Snälla bli min,Veronica Maggio,12794,2jEPQKvz7dh1pfpRyq6G1C
192,Goliat,Laleh,12708,7qA8S7mbV9uPy9rFprdN3C
193,Nervous - Acoustic,Gavin James,12702,0Jh0BrPAU1RxzokKeHngKU
194,Without Me,Eminem,12649,5pBvNeOAJ54zgd5lEOmM3b
195,Still Falling For You - Jonas Blue Remix,Ellie Goulding,12471,0SwjtkL3kzjZeJo9YrWUAH
196,Shots & Squats,Vigiland,12469,3FS2e59gXFXrcg7sN2mL5z
197,El Perdón,Nicky Jam,12328,4Ld3RS6KBXGsvtfmnjxlVl
198,Work,Laleh,12277,2YTCLIK4GO5zRX1BMAMrLN
199,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,12209,2l8w0zZVn4AZNuzrht7MRT
200,Ingen annan rör mig som du,Norlie & KKV,12190,0ivYdbkBZnS18uZxNLHEhx
